,0,1,2,3,4,5,6,7
0,2018-05-15 07:34:02 +0200,2018-05-23 07:47:09 +0200,2018-05-07 20:03:12 +0200,2018-04-27 23:16:18 +0200,2018-03-23 08:57:56 +0200,2018-06-04 19:42:47 +0200,2018-06-12 09:16:01 +0200,2018-07-13 00:00:00 +0200
1,109.8,109.6,112,113.4,119,108.2,108,109
